apple [ˋæp!] (小學1年級),蘋果
book [bʊk] (小學1年級),書本
happy [ˋhæpɪ] (小學1年級),快樂的
family [ˋfæməlɪ] (小學2年級),家庭
school [skul] (小學2年級),學校
friend [frɛnd] (小學2年級),朋友
animal [ˋænəm!] (小學3年級),動物
beautiful [ˋbjutəfəl] (小學3年級),美麗的
holiday [ˋhɑlə͵de] (小學3年級),假日
weather [ˋwɛðɚ] (小學4年級),天氣
ticket [ˋtɪkɪt] (小學4年級),票
exercise [ˋɛksɚ͵saɪz] (小學4年級),運動
dictionary [ˋdɪkʃən͵ɛrɪ] (小學5年級),字典
language [ˋlæŋgwɪdʒ] (小學5年級),語言
museum [mjuˋzɪəm] (小學5年級),博物館
environment [ɪnˋvaɪrənmənt] (小學6年級),環境
government [ˋgʌvɚnmənt] (小學6年級),政府
temperature [ˋtɛmprətʃɚ] (小學6年級),溫度
knowledge [ˋnɑlɪdʒ] (國中1年級),知識
success [səkˋsɛs] (國中1年級),成功
experience [ɪkˋspɪrɪəns] (國中2年級),經驗
responsibility [rɪ͵spɑnsəˋbɪlətɪ] (國中2年級),責任
communication [kə͵mjunəˋkeʃən] (國中3年級),溝通
opportunity [͵ɑpɚˋtjunətɪ] (國中3年級),機會
essential [ɪˋsɛnʃəl] (高中1年級),必要的
significant [sɪgˋnɪfəkənt] (高中1年級),重要的
consequence [ˋkɑnsə͵kwɛns] (高中2年級),後果
phenomenon [fəˋnɑmə͵nɑn] (高中2年級),現象
controversial [͵kɑntrəˋvɝʃəl] (高中3年級),有爭議的
sophisticated [səˋfɪstɪ͵ketɪd] (高中3年級),複雜的老練的
abstract [ˋæbstrækt] (大學1年級),抽象的
paradigm [ˋpærə͵daɪm] (大學1年級),典範
ubiquitous [juˋbɪkwətəs] (大學2年級),無所不在的
cognitive [ˋkɑgnətɪv] (大學2年級),認知的
empirical [ɛmˋpɪrɪk!] (大學3年級),實證的
hierarchy [ˋhaɪə͵rɑrkɪ] (大學3年級),階級制度
epistemology [ɪ͵pɪstəˋmɑlədʒɪ] (大學4年級),認識論
dichotomy [daɪˋkɑtəmɪ] (大學4年級),二分法
revenue [ˋrɛvə͵nju] (TOEIC),營收
implement [ˋɪmpləmənt] (TOEIC),實施
negotiation [nɪ͵goʃɪˋeʃən] (TOEIC),談判
indigenous [ɪnˋdɪdʒɪnəs] (TOEFL),本土的
photosynthesis [͵fotəˋsɪnθəsɪs] (TOEFL),光合作用
metabolism [məˋtæb!͵ɪzəm] (TOEFL),新陳代謝
mitigate [ˋmɪtə͵get] (IELTS),減輕緩和
procrastinate [proˋkræstə͵net] (IELTS),拖延
ubiquity [juˋbɪkwətɪ] (IELTS),無所不在
